:START_ID(Document),:END_ID(Committee),:TYPE
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-17,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-13,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-29,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-05-30,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,The Library as Catalyst Project - Special Collections Research Center Working Group,BELONGS_TO
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Graduate Student Survey Working Group,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-05-23,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-01,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-06-20_1,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-31,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-01,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-07-18,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-10-26,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-01-10,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-14,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-11-09,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-06-20,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-14,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-09-14,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28_1,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07_1,Diversity Residency Advisory Committee,BELONGS_TO
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,Diversity Residency Advisory Committee,BELONGS_TO
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-17,Academic Professional Promotion Implementation Team,BELONGS_TO
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-06-15,Academic Professional Promotion Implementation Team,BELONGS_TO
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-28,Academic Professional Promotion Implementation Team,BELONGS_TO
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-03-29,Academic Professional Promotion Implementation Team,BELONGS_TO
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-03-28,Academic Professional Promotion Implementation Team,BELONGS_TO
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-05-10,Academic Professional Promotion Implementation Team,BELONGS_TO
Academic Professional Promotion Implementation Team__Agendas__Academic Professional Promotion Implementation Team_Agendas_2017-02-17,Academic Professional Promotion Implementation Team,BELONGS_TO
Academic Professional Promotion Implementation Team__Agendas__Academic Professional Promotion Implementation Team_Agendas_2017-03-28,Academic Professional Promotion Implementation Team,BELONGS_TO
Academic Professional Promotion Implementation Team__Agendas__Academic Professional Promotion Implementation Team_Agendas_2017-03-29,Academic Professional Promotion Implementation Team,BELONGS_TO
Content Access Policy & Technology (CAPT)__Related Documents__IT_Happenings_at_Campus,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Related Documents__Discovery_Study_Group_rev,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Related Documents__Proposed Policy on Custom Templates for the Library CMS,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Related Documents__Phase2ActionPlan,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Related Documents__Summary_of_Primo_Implementation_for_CAPT_Meeting,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-05-28,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-04-02,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2017-07-27,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25_1,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-07-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-12-17,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2012-08-22,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-08-27,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-04-28,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2012-12-19,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30_1,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2018-03-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2018-01-15,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-05-28,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-10-31,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2018-07-26,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2017-01-26,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-08-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-09-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-10-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2016-05-31,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-03-04,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-12-04,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-01-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-09-24,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-03-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-06-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-05-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2012-08-22,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-07-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-02-22,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2014-04-02,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-12-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-02-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-05-28,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-04-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-04-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-09-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-10-31,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-06-25,Content Access Policy & Technology (CAPT),BELONGS_TO
