:START_ID(Document),:END_ID(Location),:TYPE
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-17,Archon,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-17,Jameatris Rimkus,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Layout,MENTIONS
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,Preface,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Esra Coskun,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Illinois,MENTIONS
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Merinda,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-05-23,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-01,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-06-20_1,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-01,Ideas,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-01,Libraries,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-01-10,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-14,Mara,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-06-20,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-04-11,PRC,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-14,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28_1,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-03-28,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07_1,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,Atoma Batoma,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,MPAL,MENTIONS
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-02-24,Siobhan,MENTIONS
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-17,Banner,MENTIONS
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-17,CV,MENTIONS
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-02-28,Forums,MENTIONS
Academic Professional Promotion Implementation Team__Minutes__Academic Professional Promotion Implementation Team_Minutes_2017-03-29,Grievance,MENTIONS
Content Access Policy & Technology (CAPT)__Related Documents__Proposed Policy on Custom Templates for the Library CMS,Background,MENTIONS
Content Access Policy & Technology (CAPT)__Related Documents__Phase2ActionPlan,AI,MENTIONS
