id:ID(Document),name,dateCreated,fileFormat,additionalType,description,checksum,originalFileName
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-17,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-17.docx,2019-09-17,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-09-17.,e9cdb85ea9fab23fe9d218bfa551f3fd56a0a2d79bae683bb7b481eb9472577a,2019.09.17.docx
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-29.docx,2019-07-29,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-07-29.,fea70b1827908607a1a33e3d19aecba00c3d30dc6e7150b9b72ecd002e5fe2d9,2019.07.29.docx
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-13,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-13.docx,2019-06-13,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-06-13.,32f396176b42315ae6695e13c029c7823722c43d15b61a7d85e45a8b4d0798ee,2019.06.13.docx
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-07-15.docx,2019-07-15,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-07-15.,ef68009da2ab2db261835defd467b34ec12a80327f37b843dd7cc00c18bed33d,2019.07.15.docx
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-10.docx,2019-10-10,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-10-10.,da0e9f9db223544b2ac2b4b1f7586138aabd02f3e0bb20e11fa3491bb46ea9ad,2019.10.10.docx
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-29,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-10-29.docx,2019-10-29,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-10-29.,d846836160cf89dff5f7fd2ede2dd1b859c676be493a926d17c61a438897b4b5,2019.10.29-1.docx
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-05-30,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-05-30.docx,2019-05-30,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-05-30.,75cc35c24e2c1b25e02324eb4e072d61b793204b4b3fec8b7bce464912975d2b,2019.05.30.docx
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-09-04.docx,2019-09-04,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-09-04.,e36f31b9b2aa4f4302a381812266eebf8f5660ddd4aa1d7dfca125e476a19720,2019.09.04.docx
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-08-14.docx,2019-08-14,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-08-14.,3ea98f07de355d8d173ad87e2db2915845fe07fd25ab24b3639dbc94ac3a7f32,2019.08.14.docx
The Library as Catalyst Project - Special Collections Research Center Working Group__Minutes__The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27,The Library as Catalyst Project - Special Collections Research Center Working Group_Minutes_2019-06-27.docx,2019-06-27,DOCX,Minutes,Minutes document for The Library as Catalyst Project - Special Collections Research Center Working Group dated 2019-06-27.,118d03b5c7b53ccdd77a31689bf581b340837f80405ee57862d5666e5be91455,2019.06.27.docx
Graduate Student Survey Working Group__Minutes__Graduate Student Survey Working Group_Minutes_2014-12-12,Graduate Student Survey Working Group_Minutes_2014-12-12.docx,2014-12-12,DOCX,Minutes,Minutes document for Graduate Student Survey Working Group dated 2014-12-12.,1d494cf4229728f2b799556510d3929fe97acdc99f572356f54419968e866547,Graduate_Student_Survey_Working_Group_minutes_2014_12_12.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-05-23,Diversity Residency Advisory Committee_Minutes_2022-05-23.docx,2022-05-23,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-05-23.,665f3eae3ce3818ab20dcea263504b5bb6e103f0be919709c69c14070a85619e,RAC-Meeting-Notes-05.23.22.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-08-01,Diversity Residency Advisory Committee_Minutes_2022-08-01.docx,2022-08-01,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-08-01.,8af3116bd6f0b76ea9e8fd9ea9e474e63f11e722e3b079b999935da457ec10a0,RAC-Meeting-Notes-08.01.22.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-12-07,Diversity Residency Advisory Committee_Minutes_2022-12-07.docx,2022-12-07,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee dated 2022-12-07.,e9f54f952d449fa57233bf874a7851c4bc8ba796b94c80fc512f28bc31ae7532,RAC-Meeting-Notes-12.07.2022.docx
Diversity Residency Advisory Committee__Minutes__Diversity Residency Advisory Committee_Minutes_2022-06-20_1,Diversity Residency Advisory Committee_Minutes_2022-06-20_1.docx,unknown,DOCX,Minutes,Minutes document for Diversity Residency Advisory Committee.,325f7fb9e80bb717af8ab65f1dd9412d75748f93308bd9e7cd00a62a10f9a04f,Diversity Residency Advisory Committee_Minutes_2022-06-20_1.docx
