name:ID(Organization),mentionCount:int
& Jen,1
- Coordinator of Information Literacy Services,1
--Media & Reserve Center,1
-1,2
-Residence Hall Libraries,1
-Scholarly Commons,1
"-Social Sciences, Health",1
.97 FTE,2
/the Social Science Division,1
08/15/2016,1
09/08/2016,1
19th Century Collection,1
1FTE,2
2 This Communication,1
2.4 Executive Committee Report and Discussion,1
2014 Associates,1
2:30 Future of Diversity/DEIA Committee Work,1
2FA Knowledgebase,1
3.4 Executive Committee Report and Discussion,1
314A Illini Union,2
3D,3
3rd Party Vendors,1
4 Social Sciences,1
4/24 - LSPT,1
4th Library Assessment Forum,1
"4th week N/A
Math 0 0",2
"4th week N/A
Newspaper",2
5.Enhancing University,1
"5/19/2022
Group Composition",1
500k)—but,1
519 - Social Science Research,1
5yr Head Review,2
"8/15/15
Arts & Humanities",1
8:30am-1:00pm,1
@UIResHallLib,1
A & H SEE NOTE ABOVE,2
A - Address,1
A Home of Their Own,1
A&E,2
A&H,2
A&HD,1
A&I,12
A&I Review,2
A&I Review Group,2
A&I Review Study,1
A&I Review Team,4
A&I Services (Again,1
A&I Task Force,1
A. Future of Reserve Services,1
A. Interdisciplinary Fund Review,1
A. Rationalizing Stacks/Oak Street/Unit Holdings,2
A. Research,1
A.P.,2
A.P.s,1
A.P.’s,2
AAAS,2
AAHSL,3
AAPI,1
AAU) Steering Committee,1
AAUP Statement on Professional Ethics,1
ABA,1
ABC,1
AC,205
AC Agenda Committee,7
"AC Agenda Committee
Photoreproduction Working Group",1
AC Focus and Membership,1
AC Retreat,1
AC rep,1
AC/EC,1
AC/EC/Cabinet/Budget Group,2
ACCESSIBILITY EQUIPMENT,1
ACM,3
ACRL’s Active Guide Series,1
ACS,9
AC’s Role in Carrying Out,2
AD Group,1
ADA,8
ADS,1
AED,1
AEON,5
AEON Special Collections Management System,1
AFSCME,3
AH,1
AHD,2
AHR,10
AHS,2
AI,2
ALA,93
ALA Archives,1
ALA Brownbag,1
"ALA Brownbag
Building Project Updates
Other news",1
ALA Brownbag Discussion,2
ALA Conference,3
ALA Core,1
ALA Library Research Round Table,1
ALA Mid-Winter,1
ALA Midwinter,2
"ALA Office for Diversity, Literacy",1
"ALA Office for Diversity, Literacy, & Outreach Services",1
ALA Planning,1
ALA Presentations,1
ALA Privacy Toolkit Talking Points,1
ALA Recruiting Report,1
ALA Research,1
ALA Scholarship Process Guidelines,1
ALA Tribute,1
ALA Virtual Conference,1
ALA-,1
ALCTS,1
ALF,2
ALL International Orders,1
ALMA,1
ALS,1
ALSCA,1
AMA,2
AME,1
AME Bethel,1
AO,1
AP,240
AP & Open Session(s,1
"AP Awards
Congratulations",1
AP Candidate,2
AP Development,1
AP Development Fund,3
AP Evaluation,2
AP Field,1
