:START_ID(Person),:END_ID(Person),:TYPE,count:int
Bill,Bill Maher,CO_APPEARS_WITH,23
Bill,Cara Bertram,CO_APPEARS_WITH,1
Bill,Chris,CO_APPEARS_WITH,7
Bill,Joanne,CO_APPEARS_WITH,14
Bill,Krista,CO_APPEARS_WITH,2
Bill,Linda,CO_APPEARS_WITH,1
Bill,Lynne,CO_APPEARS_WITH,13
Bill,Mary,CO_APPEARS_WITH,9
Bill,Sarah Harris,CO_APPEARS_WITH,1
Bill,Tim,CO_APPEARS_WITH,7
Bill,Tom,CO_APPEARS_WITH,25
Bill,Tom Teper,CO_APPEARS_WITH,48
Bill,Valerie,CO_APPEARS_WITH,2
Bill,Wendy,CO_APPEARS_WITH,5
Bill Maher,Cara Bertram,CO_APPEARS_WITH,1
Bill Maher,Chris,CO_APPEARS_WITH,11
Bill Maher,Joanne,CO_APPEARS_WITH,9
Bill Maher,Krista,CO_APPEARS_WITH,1
Bill Maher,Linda,CO_APPEARS_WITH,1
Bill Maher,Lynne,CO_APPEARS_WITH,12
Bill Maher,Mary,CO_APPEARS_WITH,9
Bill Maher,Sarah Harris,CO_APPEARS_WITH,1
Bill Maher,Tim,CO_APPEARS_WITH,3
Bill Maher,Tom,CO_APPEARS_WITH,21
Bill Maher,Tom Teper,CO_APPEARS_WITH,62
Bill Maher,Valerie,CO_APPEARS_WITH,2
Bill Maher,Wendy,CO_APPEARS_WITH,5
Cara Bertram,Chris,CO_APPEARS_WITH,2
Cara Bertram,Joanne,CO_APPEARS_WITH,1
Cara Bertram,Krista,CO_APPEARS_WITH,1
Cara Bertram,Linda,CO_APPEARS_WITH,1
Cara Bertram,Lynne,CO_APPEARS_WITH,1
Cara Bertram,Mary,CO_APPEARS_WITH,1
Cara Bertram,Sarah Harris,CO_APPEARS_WITH,1
Cara Bertram,Tim,CO_APPEARS_WITH,1
Cara Bertram,Tom,CO_APPEARS_WITH,1
Cara Bertram,Tom Teper,CO_APPEARS_WITH,3
Cara Bertram,Valerie,CO_APPEARS_WITH,1
Cara Bertram,Wendy,CO_APPEARS_WITH,1
Chris,Joanne,CO_APPEARS_WITH,2
Chris,Krista,CO_APPEARS_WITH,1
Chris,Linda,CO_APPEARS_WITH,3
Chris,Lynne,CO_APPEARS_WITH,5
Chris,Mary,CO_APPEARS_WITH,9
Chris,Sarah Harris,CO_APPEARS_WITH,2
Chris,Tim,CO_APPEARS_WITH,3
Chris,Tom,CO_APPEARS_WITH,21
Chris,Tom Teper,CO_APPEARS_WITH,39
Chris,Valerie,CO_APPEARS_WITH,1
Chris,Wendy,CO_APPEARS_WITH,1
Joanne,Krista,CO_APPEARS_WITH,2
Joanne,Linda,CO_APPEARS_WITH,1
Joanne,Lynne,CO_APPEARS_WITH,12
Joanne,Mary,CO_APPEARS_WITH,2
Joanne,Sarah Harris,CO_APPEARS_WITH,1
Joanne,Tim,CO_APPEARS_WITH,3
Joanne,Tom,CO_APPEARS_WITH,14
Joanne,Tom Teper,CO_APPEARS_WITH,14
Joanne,Valerie,CO_APPEARS_WITH,1
Joanne,Wendy,CO_APPEARS_WITH,3
Krista,Linda,CO_APPEARS_WITH,1
Krista,Lynne,CO_APPEARS_WITH,1
Krista,Mary,CO_APPEARS_WITH,1
Krista,Sarah Harris,CO_APPEARS_WITH,1
Krista,Tim,CO_APPEARS_WITH,2
Krista,Tom,CO_APPEARS_WITH,2
Krista,Tom Teper,CO_APPEARS_WITH,1
Krista,Valerie,CO_APPEARS_WITH,1
Krista,Wendy,CO_APPEARS_WITH,1
Linda,Lynne,CO_APPEARS_WITH,2
Linda,Mary,CO_APPEARS_WITH,1
Linda,Sarah Harris,CO_APPEARS_WITH,1
Linda,Tim,CO_APPEARS_WITH,1
Linda,Tom,CO_APPEARS_WITH,3
Linda,Tom Teper,CO_APPEARS_WITH,3
Linda,Valerie,CO_APPEARS_WITH,1
Linda,Wendy,CO_APPEARS_WITH,2
Lynne,Mary,CO_APPEARS_WITH,7
Lynne,Sarah Harris,CO_APPEARS_WITH,1
Lynne,Tim,CO_APPEARS_WITH,3
Lynne,Tom,CO_APPEARS_WITH,18
Lynne,Tom Teper,CO_APPEARS_WITH,28
Lynne,Valerie,CO_APPEARS_WITH,2
Lynne,Wendy,CO_APPEARS_WITH,4
Mary,Sarah Harris,CO_APPEARS_WITH,1
Mary,Tim,CO_APPEARS_WITH,3
Mary,Tom,CO_APPEARS_WITH,14
Mary,Tom Teper,CO_APPEARS_WITH,29
Mary,Valerie,CO_APPEARS_WITH,2
Mary,Wendy,CO_APPEARS_WITH,4
Sarah Harris,Tim,CO_APPEARS_WITH,1
Sarah Harris,Tom,CO_APPEARS_WITH,2
Sarah Harris,Tom Teper,CO_APPEARS_WITH,2
Sarah Harris,Valerie,CO_APPEARS_WITH,1
Sarah Harris,Wendy,CO_APPEARS_WITH,1
Tim,Tom,CO_APPEARS_WITH,5
Tim,Tom Teper,CO_APPEARS_WITH,5
Tim,Valerie,CO_APPEARS_WITH,1
Tim,Wendy,CO_APPEARS_WITH,3
Tom,Tom Teper,CO_APPEARS_WITH,169
Tom,Valerie,CO_APPEARS_WITH,1
Tom,Wendy,CO_APPEARS_WITH,45
Tom Teper,Valerie,CO_APPEARS_WITH,1
Tom Teper,Wendy,CO_APPEARS_WITH,62
Valerie,Wendy,CO_APPEARS_WITH,1
Bill,John,CO_APPEARS_WITH,38
Bill,John Laskowski,CO_APPEARS_WITH,3
Bill,Krista Gray,CO_APPEARS_WITH,2
Bill Maher,John,CO_APPEARS_WITH,35
Bill Maher,John Laskowski,CO_APPEARS_WITH,10
Bill Maher,Krista Gray,CO_APPEARS_WITH,2
Joanne,John,CO_APPEARS_WITH,9
Joanne,John Laskowski,CO_APPEARS_WITH,3
Joanne,Krista Gray,CO_APPEARS_WITH,2
John,John Laskowski,CO_APPEARS_WITH,45
John,Krista Gray,CO_APPEARS_WITH,2
John,Lynne,CO_APPEARS_WITH,19
John,Tom,CO_APPEARS_WITH,66
John,Tom Teper,CO_APPEARS_WITH,123
John,Wendy,CO_APPEARS_WITH,8
John Laskowski,Krista Gray,CO_APPEARS_WITH,1
John Laskowski,Lynne,CO_APPEARS_WITH,1
John Laskowski,Tom,CO_APPEARS_WITH,13
John Laskowski,Tom Teper,CO_APPEARS_WITH,27
John Laskowski,Wendy,CO_APPEARS_WITH,4
Krista Gray,Lynne,CO_APPEARS_WITH,1
Krista Gray,Tom,CO_APPEARS_WITH,3
Krista Gray,Tom Teper,CO_APPEARS_WITH,2
Krista Gray,Wendy,CO_APPEARS_WITH,2
Bill,Elizabeth,CO_APPEARS_WITH,1
Bill,Joanne Kaczmarek,CO_APPEARS_WITH,12
Bill,Kim,CO_APPEARS_WITH,8
Bill,Lynne Thomas,CO_APPEARS_WITH,6
Bill Maher,Elizabeth,CO_APPEARS_WITH,1
Bill Maher,Joanne Kaczmarek,CO_APPEARS_WITH,11
Bill Maher,Kim,CO_APPEARS_WITH,4
Bill Maher,Lynne Thomas,CO_APPEARS_WITH,21
Elizabeth,Joanne,CO_APPEARS_WITH,1
Elizabeth,Joanne Kaczmarek,CO_APPEARS_WITH,1
Elizabeth,John,CO_APPEARS_WITH,2
Elizabeth,Kim,CO_APPEARS_WITH,1
Elizabeth,Lynne,CO_APPEARS_WITH,1
Elizabeth,Lynne Thomas,CO_APPEARS_WITH,1
Elizabeth,Tom,CO_APPEARS_WITH,5
Elizabeth,Tom Teper,CO_APPEARS_WITH,3
Elizabeth,Wendy,CO_APPEARS_WITH,5
Joanne,Joanne Kaczmarek,CO_APPEARS_WITH,11
Joanne,Kim,CO_APPEARS_WITH,2
Joanne,Lynne Thomas,CO_APPEARS_WITH,3
Joanne Kaczmarek,John,CO_APPEARS_WITH,26
Joanne Kaczmarek,Kim,CO_APPEARS_WITH,5
Joanne Kaczmarek,Lynne,CO_APPEARS_WITH,9
